,feature,combined_importance,xgb_shap,cat_shap,lgb_shap,mlp_perm,xgb_rank,cat_rank,lgb_rank,mlp_rank
1,mkt_spread,0.27040209838575174,4.1982164,3.8958792323651017,4.008310874151329,0.03712871074676514,1,1,1,1
2,elo_diff,0.07117098149556055,1.4418285,1.0125402968457695,1.3421261696685103,0.0071954488754272464,2,2,2,3
3,mkt_spread_vs_model,0.05348897906767857,0.38129574,0.1453070033481373,0.4469425503238838,0.022231173515319825,5,18,5,2
4,ref_home_whistle,0.028469306285497507,0.46004385,0.44027133898683735,0.45999229071580205,0.0030609607696533204,3,3,4,8
5,fatigue_x_quality,0.020544586417739142,0.19418114,0.2657258546083579,0.15751846281352203,0.004683053493499756,13,5,13,5
6,orb_pct_diff,0.01962202255357675,0.26457277,0.2358199990840494,0.2247635996200743,0.0040940046310424805,6,7,8,6
7,neutral_em_diff,0.01822928274155283,0.39257738,0.0996148231400751,0.7157881380157685,0.0022212982177734373,4,30,3,12
8,pit_sos_diff,0.016956204909709716,0.15436766,0.14386765019123335,0.09913243616753024,0.005458939075469971,19,19,23,4
9,pace_adj_margin_diff,0.0157690725056141,0.23010442,0.28828137609101695,0.23848447685392657,0.0010616779327392578,9,4,6,27
10,threepct_diff,0.014183733153170222,0.2485285,0.16898336273124484,0.20630178183905573,0.0025412917137145998,7,16,9,9
11,roll_dominance_diff,0.01389866038127287,0.22002012,0.2082482406728443,0.12955019414777175,0.002258408069610596,10,10,16,11
12,crowd_pct,0.01236654184818295,0.24734485,0.1699840236248772,0.22647677772717703,0.0014118194580078126,8,15,7,20
13,opp_suppression_diff,0.011626345744526357,0.068185404,0.19616010367356604,0.07011040963998254,0.002055370807647705,96,12,37,13
14,roll_ats_margin_gated,0.011095067795381471,0.21124145,0.13357895234757916,0.1843674710759754,0.0017647504806518554,11,21,11,16
15,venue_advantage,0.010708523897626042,0.10320041,0.2572901408052001,0.056548667578107,0.0004428982734680176,50,6,52,68
16,ato_diff,0.01034542853760568,0.19336887,0.18271289800213197,0.18898595567331125,0.00048339366912841797,14,14,10,64
17,win_pct_diff,0.009089277469719789,0.022713516,0.2081879282571076,0.010209717347820108,0.0009869098663330077,120,11,120,29
18,adj_oe_diff,0.008744679665210052,0.12082433,0.18993805579705056,0.044068184522135775,0.0006442546844482421,30,13,71,48
19,drb_pct_diff,0.008733922198447394,0.17196454,0.1629463787057565,0.07288771735105869,0.0008008718490600586,16,17,34,40
20,opp_to_rate_diff,0.008533301619575067,0.12780684,0.10591379429034152,0.06637009849377315,0.0018929243087768555,25,27,41,14
21,form_x_familiarity,0.008520016578786168,0.07241646,0.21672273831541639,0.04351066035321384,0.00016962289810180665,91,8,73,103
22,hca_pts,0.008311068051527957,0.107333645,0.0981164166913955,0.12026372176391656,0.0016127943992614747,40,31,17,18
23,form_diff,0.008125902345115872,0.067817524,0.20877847093142154,0.02361581644631962,0.000245821475982666,97,9,105,91
24,opp_orb_pct_diff,0.008123820115922933,0.098526694,0.10677580056449322,0.11349553771150066,0.001422727108001709,54,26,20,19
25,three_rate_diff,0.008051545352890786,0.15965134,0.13765132077800452,0.1658818213027535,0.0003096938133239746,17,20,12,85
26,assist_rate_diff,0.007934988459424395,0.19011667,0.13052165977655156,0.14232737923049205,0.0004506230354309082,15,22,15,67
27,twopt_diff,0.007850431701792282,0.14657904,0.10815375301638373,0.10642609992503585,0.0011674761772155762,20,25,21,25
28,pace_control_diff,0.00727770307714296,0.108348414,0.07044964850210277,0.08381823791229513,0.0017975926399230956,39,33,27,15
29,blocks_diff,0.006967538375626473,0.19570045,0.10306633414363184,0.1431034198426442,0.0004080653190612793,12,29,14,74
30,neutral,0.006927588884738125,0.052645575,0.00976962057350123,0.011202789605431354,0.0033446788787841798,108,120,119,7
31,pyth_residual_diff,0.00609910414223141,0.1380626,0.10351094218383701,0.11504002938168895,0.00027267932891845704,22,28,18,89
32,opp_ppg_diff,0.005769312882461497,0.08596535,0.017364062324109395,0.04584519178541078,0.0022618889808654783,71,109,69,10
33,common_opp_diff,0.005624979487832573,0.070770234,0.046040575822533285,0.03904058445608368,0.0017480850219726562,93,49,84,17
34,ppp_diff,0.005501478181085474,0.05149888,0.11852881395791554,0.055387388874055296,0.0003055572509765625,110,23,54,86
