======================================================================
  FIX HHI + PLAYERS_USED — Re-extract from ESPN
======================================================================
  Existing cache: 510 games
  Total games with ESPN data: 64838
  Already cached: 510
  To fetch: 64328

  Fetching player minutes from ESPN...
    13000/64328 | success:12993 errors:7 | 586min left
    13100/64328 | success:13093 errors:7 | 585min left
    13200/64328 | success:13193 errors:7 | 583min left
    13300/64328 | success:13293 errors:7 | 582min left
    13400/64328 | success:13393 errors:7 | 581min left
    13500/64328 | success:13493 errors:7 | 580min left
    13600/64328 | success:13593 errors:7 | 579min left
    13700/64328 | success:13693 errors:7 | 577min left
    13800/64328 | success:13793 errors:7 | 576min left
    13900/64328 | success:13893 errors:7 | 575min left
    14000/64328 | success:13993 errors:7 | 574min left
    14100/64328 | success:14093 errors:7 | 573min left
    14200/64328 | success:14193 errors:7 | 572min left
    14300/64328 | success:14293 errors:7 | 570min left
    14400/64328 | success:14393 errors:7 | 569min left
    14500/64328 | success:14493 errors:7 | 568min left
    14600/64328 | success:14593 errors:7 | 567min left
    14700/64328 | success:14693 errors:7 | 566min left
    14800/64328 | success:14793 errors:7 | 565min left
    14900/64328 | success:14893 errors:7 | 564min left
    15000/64328 | success:14993 errors:7 | 563min left
    15100/64328 | success:15093 errors:7 | 561min left
    15200/64328 | success:15193 errors:7 | 560min left
    15300/64328 | success:15292 errors:8 | 559min left
    15400/64328 | success:15392 errors:8 | 558min left
    15500/64328 | success:15492 errors:8 | 557min left
    15600/64328 | success:15591 errors:9 | 556min left
    15700/64328 | success:15691 errors:9 | 555min left
    15800/64328 | success:15791 errors:9 | 554min left
    15900/64328 | success:15891 errors:9 | 552min left
    16000/64328 | success:15990 errors:10 | 551min left
    16100/64328 | success:16090 errors:10 | 550min left
    16200/64328 | success:16190 errors:10 | 549min left
    16300/64328 | success:16290 errors:10 | 548min left
    16400/64328 | success:16390 errors:10 | 547min left
    16500/64328 | success:16490 errors:10 | 546min left
    16600/64328 | success:16589 errors:11 | 544min left
    16700/64328 | success:16688 errors:12 | 543min left
    16800/64328 | success:16788 errors:12 | 542min left
    16900/64328 | success:16887 errors:13 | 541min left
    17000/64328 | success:16987 errors:13 | 540min left
    17100/64328 | success:17087 errors:13 | 539min left
    17200/64328 | success:17187 errors:13 | 537min left
    17300/64328 | success:17287 errors:13 | 536min left
    17400/64328 | success:17387 errors:13 | 534min left
    17500/64328 | success:17487 errors:13 | 533min left
    17600/64328 | success:17587 errors:13 | 532min left
    17700/64328 | success:17687 errors:13 | 531min left
    17800/64328 | success:17787 errors:13 | 530min left
    17900/64328 | success:17887 errors:13 | 529min left
    18000/64328 | success:17987 errors:13 | 528min left
    18100/64328 | success:18087 errors:13 | 527min left
    18200/64328 | success:18187 errors:13 | 526min left
    18300/64328 | success:18287 errors:13 | 525min left
    18400/64328 | success:18387 errors:13 | 524min left
    18500/64328 | success:18487 errors:13 | 522min left
    18600/64328 | success:18587 errors:13 | 521min left
    18700/64328 | success:18687 errors:13 | 520min left
    18800/64328 | success:18787 errors:13 | 519min left
    18900/64328 | success:18887 errors:13 | 518min left
    19000/64328 | success:18987 errors:13 | 516min left
    19100/64328 | success:19087 errors:13 | 515min left
    19200/64328 | success:19187 errors:13 | 514min left
    19300/64328 | success:19287 errors:13 | 513min left
00/64828 | success:19387 errors:13 | 516min left
    19500/64828 | success:19487 errors:13 | 515min left
    19600/64828 | success:19587 errors:13 | 514min left
    19700/64828 | success:19687 errors:13 | 513min left
    19800/64828 | success:19787 errors:13 | 511min left
