,feature,combined_importance,xgb_shap,cat_shap,lgb_shap,mlp_perm,xgb_rank,cat_rank,lgb_rank,mlp_rank
30,luck_diff,0.006634028044906431,0.15099157,0.10385185342930627,0.14773995571774648,0.013794326782226562,25,30,23,53
31,opp_orb_pct_diff,0.006401816263555145,0.16397226,0.12045432038842491,0.10006153847614793,0.010641515254974365,22,29,34,94
32,assist_rate_diff,0.005903387947692314,0.16539538,0.09049553876157428,0.1091907408967965,0.013022387027740478,20,35,30,65
33,three_rate_diff,0.005819529834881673,0.16496618,0.09229879699522048,0.1325045983969678,0.010896062850952149,21,34,24,92
34,neutral,0.00545133150804418,0.05468028,0.07656069114710325,0.028725867439215524,0.01952615976333618,103,37,90,13
35,ppp_diff,0.005264094801454576,0.092957735,0.09631745168823758,0.11554360438049571,0.008720052242279053,44,32,28,123
36,roll_lead_change_avg,0.005102287607368432,0.12655784,0.07314590966452272,0.08391634091012726,0.013263404369354248,29,38,38,61
37,drb_pct_diff,0.004987706280574675,0.1139652,0.04461849405893145,0.09932503771953807,0.018096661567687987,30,55,35,16
38,to_margin_diff,0.004964460940592366,0.13405976,0.06561890922388597,0.06945963673825754,0.014426338672637939,28,41,44,43
39,pace_adj_margin_diff,0.004791742585357557,0.074895896,0.07019407450928133,0.10163183293279353,0.012091147899627685,61,39,33,82
40,opp_ppg_diff,0.004697602322624489,0.06988229,0.08550145281134872,0.08498493643181845,0.009100639820098877,79,36,37,117
41,roll_ats_diff_gated,0.0046078988559254755,0.07077213,0.06791208736544684,0.04893211233038161,0.013991141319274902,75,40,64,51
42,roll_rotation_diff,0.004549820905347749,0.10811017,0.05454478294597418,0.07179698406432734,0.014378619194030762,35,48,43,45
43,roll_drought_diff,0.004537972837406852,0.07549692,0.05486538376187466,0.05614618668974815,0.015809524059295654,60,47,51,26
44,venue_advantage,0.004431557118809709,0.059803694,0.05684466668073687,0.039778952975380616,0.015831756591796874,95,44,76,24
45,roll_bench_pts_diff,0.004376327121435151,0.07927,0.024496593762406225,0.04248014722061381,0.021739864349365236,53,80,72,8
46,fatigue_diff,0.004316679377983953,0.08701057,0.057296768282000504,0.071858377470096,0.01265547275543213,48,43,42,74
47,form_x_familiarity,0.004121422844231756,0.07754986,0.059756352928986484,0.07329786729082295,0.010907196998596191,57,42,41,91
48,ref_foul_rate,0.004104875576370145,0.11191358,0.05506284596720241,0.07486053360286136,0.010865283012390137,31,46,39,93
49,pace_control_diff,0.004049474335445742,0.11148482,0.09386031991971912,0.10584485166363906,0.0006513595581054688,32,33,31,152
50,common_opp_diff,0.004036589948501736,0.08230332,0.04947970260786666,0.09413171883045382,0.011351275444030761,50,50,36,88
51,opp_to_rate_diff,0.003943061241531283,0.10025897,0.03770455323299933,0.059685193461530915,0.014469599723815918,41,60,48,42
52,opp_efg_diff,0.003906318783418328,0.09479405,0.055103882483536856,0.0733790352478178,0.009945094585418701,42,45,40,104
53,n_common_opps,0.0038430443510646954,0.071104474,0.050457778058231324,0.061980802505405067,0.011641204357147217,72,49,47,87
54,season_pct_avg,0.003826386875444796,0.08206778,0.036231200585400934,0.037852940606784534,0.015490114688873291,51,65,78,28
55,espn_wp_edge,0.00382093764591648,0.07777971,0.037141771893655445,0.0529714025392988,0.014612925052642823,54,64,59,39
56,to_conversion_diff,0.0038080198587628037,0.09264352,0.03422228911689818,0.05340544854984942,0.014756059646606446,45,70,57,37
57,rank_diff,0.0037580571690014834,0.05950989,0.04791905180339443,0.05414876076903966,0.01225651502609253,97,52,55,79
58,is_lookahead,0.0037103395943142835,0.04482996,0.026987528243247134,0.039993286102255825,0.017458438873291016,116,77,75,18
59,ft_dependency_diff,0.0036033200241148743,0.090511575,0.031094115936952833,0.05066462280443941,0.014161396026611327,47,71,61,48
60,days_since_loss_diff,0.003583667119888589,0.07378921,0.03829188207193063,0.05332051389646453,0.012765264511108399,63,59,58,71
61,matchup_to,0.003550858787525637,0.06863279,0.02257515622361149,0.04278259633891976,0.01654294729232788,81,84,71,20
62,steals_diff,0.0035361205124122344,0.104939856,0.027006973189871865,0.05267798987710671,0.014101517200469971,37,76,60,49
63,bimodal_diff,0.003532244341491541,0.073784426,0.027403618008914155,0.044116927968090844,0.015184938907623291,64,75,69,32
64,margin_skew_diff,0.003488903732125585,0.073269084,0.03867404353706246,0.05870312758914511,0.011757159233093261,66,58,49,84
65,games_last_14_diff,0.0034815370627244357,0.038137026,0.03024167520089274,0.03742143727491424,0.01543281078338623,121,72,79,30
66,scoring_source_entropy_diff,0.003466351846256117,0.09354234,0.037703499458039386,0.06200276353970072,0.011139261722564697,43,61,46,90
67,info_gain_diff,0.0034101747786461807,0.07090302,0.0372825815298515,0.055097826321518883,0.011733531951904297,73,63,53,85
68,block_foul_diff,0.003404966954785752,0.06594874,0.04768710448651238,0.04502753012915124,0.010094380378723145,85,53,68,102
69,def_improvement_diff,0.0033986843467323584,0.050513167,0.015571414083498792,0.024886826172903092,0.01829690933227539,109,101,103,15
70,clutch_ratio_diff,0.00338826995811191,0.060429536,0.03619505385988053,0.03900785037848836,0.012868010997772216,93,66,77,67
71,form_diff,0.0033577724203853556,0.070838675,0.04450728987276059,0.01704925720437004,0.011706292629241943,74,56,120,86
72,pace_leverage,0.003287589306978409,0.071526915,0.04899901490650333,0.03641640884589101,0.00927034616470337,71,51,81,115
73,recovery_diff,0.003284317371747336,0.07050792,0.021465952677750245,0.03735144674383702,0.01511223316192627,76,86,80,34
74,matchup_efg,0.0032808959446002624,0.074660495,0.03752280070841955,0.05830814243206835,0.010512816905975341,62,62,50,97
75,margin_accel_diff,0.003259335685539261,0.07156674,0.02368645123085974,0.048448388899765715,0.013883602619171143,69,81,65,52
76,overreaction_diff,0.0032222554515125793,0.077603534,0.03424340284168822,0.028407945565756744,0.012208342552185059,56,69,93,80
77,consistency_diff,0.0032196430832830774,0.10047169,0.023205533467858152,0.0652391859127484,0.0121565580368042,40,82,45,81
78,def_versatility_diff,0.003206798630784189,0.06240166,0.0144826765863329,0.03257006859232067,0.016493058204650878,90,103,84,21
79,win_aging_diff,0.003178092760779048,0.056831148,0.02160876070598238,0.021050480358277654,0.015475249290466309,101,85,108,29
80,regression_diff,0.0031649543048899477,0.053715065,0.034854560162010315,0.0250059961591717,0.012431132793426513,104,68,102,77
81,def_fgpct_diff,0.0031101568112768597,0.039067227,0.022834012390891147,0.0256662818061625,0.014942002296447755,120,83,99,36
82,games_since_blowout_diff,0.003089116470588339,0.035833705,0.019265911300968445,0.04660803643605899,0.01459672451019287,124,89,66,40
83,garbage_adj_ppp_diff,0.0029770480407278043,0.06455556,0.0464504738795025,0.04089603486315969,0.007562494277954102,88,54,74,134
84,roll_top3_share_diff,0.0029673203503873206,0.110776246,0.02987515267351559,0.045185642010246205,0.009680449962615967,34,73,67,111
85,rest_effect_diff,0.0029574765796948,0.070492156,0.017175865956143704,0.02118994373795223,0.014512884616851806,77,98,106,41
86,matchup_ft,0.0029197612805264236,0.07249716,0.017958825719066335,0.014931598293441479,0.01433877944946289,67,95,125,46
87,wl_momentum_diff,0.0028694236092649214,0.076697044,0.009385791183121328,0.041401529861143906,0.01439746618270874,59,119,73,44
88,scoring_var_diff,0.0028584121808423535,0.067700915,0.01787201886488979,0.02684896172232282,0.013449633121490478,83,96,97,57
89,ceiling_diff,0.002797955343032516,0.0602928,0.005310224450905256,0.014935226011794544,0.016480660438537596,94,133,124,22
90,fg_divergence_diff,0.002753120375680847,0.06817823,0.011707812466575216,0.03410763831226807,0.013648629188537598,82,111,82,56
91,adj_de_diff,0.002737031327874509,0.080389164,0.035069679411125654,0.05055468943269364,0.00742189884185791,52,67,62,139
92,margin_trend_diff,0.002731577047933182,0.058697548,0.015198175625702031,0.043833022885456235,0.012501776218414307,98,102,70,75
93,mkt_spread_vs_model,0.002724034274477952,0.039876286,0.042344609673143796,0.17829210125717349,0.0004403233528137207,119,57,19,153
94,concentration_diff,0.002675865219450754,0.058051325,0.015588505459540804,0.028858907116643212,0.012781918048858643,99,100,89,69
95,three_divergence_diff,0.0026661572014736396,0.059735987,0.00429036040934363,0.01874257310857628,0.015588617324829102,96,134,117,27
96,scoring_entropy_diff,0.0026389017951932606,0.07152862,0.0125982053779109,0.03144658528956991,0.012697088718414306,70,110,86,73
97,opp_fta_rate_diff,0.0026083042665844434,0.04040783,0.014389396472479343,0.020367027949816617,0.013416886329650879,118,104,111,58
98,dow_effect_diff,0.002577989198019486,0.050352257,0.0011000273888955186,0.02002375147727763,0.015813875198364257,110,139,113,25
99,def_stability_diff,0.0025759373542169756,0.08391663,0.0024007978682529366,0.030461852403593427,0.014172780513763427,49,137,88,47
100,roll_hhi_diff,0.002565124563548178,0.07026972,0.020678361817874163,0.028594896452120013,0.010618877410888673,78,87,91,95
101,ppg_diff,0.0024939491543264263,0.07763364,0.026230383509935454,0.025664325209406025,0.008890128135681153,55,78,100,120
102,fta_rate_diff,0.002473646539095071,0.07692983,0.0181943619315842,0.05602723522762273,0.00897531509399414,58,92,52,118
103,ppp_divergence_diff,0.002472039913448206,0.069118336,0.008109187196764626,0.015922689712693998,0.013302803039550781,80,127,122,60
104,momentum_halflife_diff,0.00245705313386883,0.062669456,0.010427343835510241,0.02334280989024742,0.01249239444732666,89,113,104,76
105,revenge_margin,0.00245334831378758,0.037996024,0.010303939586636614,0.022105320936063773,0.013164496421813965,122,114,105,63
106,paint_pts_diff,0.002386475140312784,0.105577394,0.009663942752372142,0.0491146331093941,0.009814572334289551,36,118,63,105
107,steal_foul_diff,0.0023727405972037573,0.060667165,0.008852079633370999,0.027552616075711567,0.012071764469146729,92,123,95,83
108,streak_diff,0.0023501996102965605,0.05365481,0.009943501720543367,0.05460761555422794,0.010509943962097168,105,117,54,98
109,after_loss_either,0.002232812173913524,0.023543457,0.0,0.00037808660234120634,0.015238356590270997,127,151,146,31
110,has_crowd_data,0.0022087202003652994,0.001851792,0.007316518001940879,0.0005991662397288566,0.014029109477996826,148,129,144,50
111,rest_diff,0.002202793247614824,0.03732112,0.0277039480381263,0.02112791704631111,0.007732295989990234,123,74,107,132
112,sos_diff,0.002195701832041061,0.057508357,0.018271905379111608,0.02001740211144631,0.009253954887390137,100,90,114,116
113,pts_off_to_diff,0.0021779670633335015,0.04995038,0.01355741617201377,0.030770596519803906,0.009789657592773438,111,107,87,107
114,three_value_diff,0.002117900757822955,0.04723915,0.014082176999228395,0.020821962336632516,0.009811973571777344,115,106,110,106
115,rhythm_disruption_diff,0.002113742912480143,0.066128574,0.00876188129464506,0.019529842055765318,0.010516524314880371,84,124,116,96
116,ref_ou_bias,0.0021111085483219564,0.07215125,0.009207175152674024,0.020287142789072645,0.010216021537780761,68,120,112,101
117,spread_regime,0.002080233141296972,0.018103892,0.007227190323457577,0.0,0.012764227390289307,131,130,154,72
118,fastbreak_diff,0.002064868907611174,0.065923795,0.01807534813631684,0.0335562016461762,0.007487952709197998,86,93,83,137
119,efg_diff,0.0020620757453377776,0.042287324,0.02023871014856946,0.032186812072710125,0.007658517360687256,117,88,85,133
120,fgpct_diff,0.002029578166197831,0.05570678,0.008870970280775521,0.028419088235221438,0.009713077545166015,102,122,92,110
121,centrality_diff,0.002008155182361494,0.029062476,0.01420039297978063,0.01475171088853497,0.009759116172790527,125,105,126,108
122,is_midweek,0.0019375808255256246,0.005306092,0.0,0.008253189897762626,0.013204634189605713,141,151,130,62
123,roll_star1_share_diff,0.0019169533567589606,0.0657047,0.018215587395207063,0.02531438671322807,0.006822919845581055,87,91,101,143
124,games7_diff,0.0018961503878635632,0.01723907,7.74795580112976e-06,0.004947086663794938,0.012777757644653321,132,140,136,70
125,rest_x_defense,0.001866295507026784,0.07372825,0.024974982751846703,0.05378391578579841,0.003407609462738037,65,79,56,150
126,steals_to_diff,0.0018619427150999056,0.061552983,0.007047554627441714,0.017195607457578886,0.009325766563415527,91,131,119,113
127,is_revenge_game,0.0018596169944630808,0.0020435627,0.0,0.0029715078628152437,0.012994301319122315,146,151,140,66
128,either_b2b,0.0018320414605223572,0.0036209824,0.0,0.001031801399147001,0.012855863571166993,143,151,142,68
129,ts_diff,0.0018277201627274562,0.049730595,0.017710891993064134,0.01975371547657989,0.006968963146209717,112,97,115,141
130,roll_bench_share_diff,0.00181787665471894,0.049647167,0.011599385414508214,0.015183945963234895,0.008434462547302245,113,112,123,126
131,eff_vol_diff,0.0018114246376159523,0.05270124,0.01000941334931709,0.018334764115117086,0.008496725559234619,107,116,118,125
132,score_kurtosis_diff,0.001795278951305431,0.053523384,0.008309961362654925,0.027059313706166165,0.008292365074157714,106,126,96,128
133,is_ranked_game,0.0017523147334411382,0.0018334534,0.0076797694438330765,0.006896631135362605,0.010401725769042969,149,128,131,100
134,is_letdown,0.0017426560294130072,0.0,0.0,0.0,0.01236255168914795,156,151,154,78
135,roll_star_dep_diff,0.0017322336443185617,0.022105606,0.01800513948202992,0.002988173561009261,0.007744014263153076,129,94,139,131
136,importance,0.0016521679194435972,0.009191677,0.013281039407373648,0.0,0.008653807640075683,139,108,154,124
137,consistency_x_spread,0.001641515505547425,0.014885481,0.008524331860497107,0.0132930375014287,0.008794832229614257,133,125,128,122
138,is_early,0.0016064502737749018,0.011623249,0.0,0.02763694393396806,0.009737658500671386,135,151,94,109
139,win_pct_diff,0.0015843158709366125,0.009898097,0.015823024192904735,0.006221142707258542,0.007302916049957276,138,99,134,140
140,def_rest_advantage,0.001574854258905879,0.028285626,0.004264376975844964,0.014742146242988335,0.008829152584075928,126,135,127,121
141,roll_top3_dep_diff,0.0015479923578217507,0.010670868,0.009026161082229029,0.016359499520902425,0.007976269721984864,137,121,121,130
142,ref_pace_impact,0.0014697735703012903,0.023280937,0.013164782543715418,0.0029573866137631312,0.006889355182647705,128,109,141,142
143,has_ref_data,0.0013653563179014162,0.0020106295,0.0,0.0033776942629374753,0.009468638896942138,147,151,138,112
144,is_top_matchup,0.0013233565390605956,0.002261288,0.0,0.00036010385044914624,0.009314179420471191,145,151,147,114
145,roll_bench_diff,0.0013207487984793391,0.019151311,0.010080248344896205,0.003985172926173597,0.006542813777923584,130,115,137,144
146,transition_dep_diff,0.0012967804956022706,0.052461125,0.0032943987481227877,0.02102567509437293,0.0061538457870483395,108,136,109,148
147,is_conf_game,0.001276912910471711,0.0028791623,0.0,0.0007712501038646752,0.008949017524719239,144,151,143,119
148,is_ncaa_tourney,0.0012631463695659164,0.011150016,0.0,0.006675193076769807,0.008353793621063232,136,151,132,127
149,luck_x_spread,0.0011823801238908872,0.005476846,0.006694035433241311,0.006250235741444965,0.006511199474334717,140,132,133,145
150,is_sandwich,0.0011324493470645258,0.0009861633,0.0,0.0005134745216256657,0.007983815670013428,150,151,145,129
151,is_postseason,0.0010613497557498634,0.0,0.0,0.0,0.007529306411743164,156,151,154,136
152,pyth_residual_diff,0.0005818986266233929,0.0,0.0,0.0,0.0041280388832092285,156,151,154,149
153,conf_balance_diff,0.000304377329509911,0.004277382,0.0017027652843818334,0.00560500812455974,0.0014113426208496095,142,138,135,151
154,is_bubble,0.0,0.0,0.0,0.0,0.0,156,151,154,157
155,injury_diff,0.0,0.0,0.0,0.0,0.0,156,151,154,157
156,venue_size_norm,0.0,0.0,0.0,0.0,0.0,156,151,154,157
157,starters_diff,0.0,0.0,0.0,0.0,0.0,156,151,154,157
158,espn_predictor_edge,0.0,0.0,0.0,0.0,0.0,156,151,154,157
159,any_injury_flag,0.0,0.0,0.0,0.0,0.0,156,151,154,157
160,espn_ml_edge,0.0,0.0,0.0,0.0,0.0,156,151,154,157
161,is_conf_tourney,0.0,0.0,0.0,0.0,0.0,156,151,154,157
